lakeid,Depth_m,Depth_ft,area
AL,0,0,1678997.14379815
AL,0.9144,3,1317944.8035112
AL,1.524,5,902720.333987356
AL,3.048,10,622194.2423017
AL,4.572,15,533720.208545397
AL,6.096,20,294412.558727322
BM,0,0,3877620.03726201
BM,1.524,5,3369578.49834748
BM,3.048,10,2597907.86631904
BM,4.572,15,2355682.42146845
BM,6.096,20,2081637.24169809
BM,7.62,25,1794772.12976678
BM,9.144,30,1431809.54465596
BM,10.668,35,1085401.65632072
BM,12.192,40,908461.74080938
BM,13.716,45,677889.934303664
BM,15.24,50,474126.357682748
BM,16.764,55,251718.794539193
BM,18.288,60,75477.7916927513
BM,19.812,65,17332.1755743809
BM,21.336,70,783.114864314441
CB,0,0,3904.19421352714
CB,1.5,5,2950.92265828961
CB,1.75,6,1800.08357628225
CB,2,7,1154.8394884037
CB,2.25,7,606.303382815677
CB,2.5,8,108.11026145731
CR,0,0,379176.129196114
CR,1.524,5,346326.502470643
CR,3.048,10,281138.821569247
CR,4.572,15,266127.239705814
CR,6.096,20,256061.734828235
CR,7.62,25,245588.995910652
CR,9.144,30,230371.83826016
CR,10.668,35,209112.088849658
CR,12.192,40,179551.241595037
CR,13.716,45,145943.438933839
CR,15.24,50,113232.009259053
CR,16.764,55,85596.2669385817
CR,18.288,60,56069.8402801265
CR,19.812,65,21396.4050226533
SP,0,0,583110.115883789
SP,1.524,5,530994.638097381
SP,3.048,10,494813.699563425
SP,4.572,15,466853.583580745
SP,6.096,20,430512.721589005
SP,7.62,25,395982.954188243
SP,9.144,30,369005.240463412
SP,10.668,35,324003.224171159
SP,12.192,40,285676.898082224
SP,13.716,45,249648.507527134
SP,15.24,50,215828.969905434
SP,16.764,55,132310.900538306
SP,18.288,60,60097.5450153551
TB,0,0,10809.4022396932
TB,2,7,10220.974440031
TB,3,10,9246.98891398782
TB,4,13,8220.74392838404
TB,5,16,7317.19166932604
TB,6,20,6107.17107268021
TB,6.5,21,5006.86965680518
TB,7,23,3453.73994899692
TB,7.5,25,676.488324718346
TR,0,0,15555107.6376127
TR,3.048,10,14330067.9484095
TR,6.096,20,12186227.2165844
TR,9.144,30,10525824.0730109
TR,12.192,40,8285548.38874851
TR,15.24,50,6899447.62715694
TR,18.288,60,5844072.44443867
TR,21.336,70,4948201.25786926
TR,24.384,80,3823119.11579852
TR,27.432,90,2303341.01813678
TR,30.48,100,1560052.63747217
TR,33.528,110,386032.379154373
ME,0,0,38798532.4671158
ME,0.9144,3,37590567.0751384
ME,1.524,5,35033054.0624482
ME,3.048,10,31759311.316062
ME,4.572,15,29172794.6699631
ME,6.096,20,27630500.8474336
ME,7.62,25,26743938.8525575
ME,9.144,30,25900668.9802426
ME,10.668,35,23997720.9429076
ME,12.192,40,22501881.2073083
ME,13.716,45,20155055.1112968
ME,15.24,50,18006228.5923543
ME,16.764,55,14943896.7047336
ME,18.288,60,12348532.7180817
ME,19.812,65,8518724.4469811
ME,21.336,70,4843634.09039187
ME,22.86,75,2042268.4670513
ME,24.384,80,394689.045205412
MO,0,0,13884169.6786759
MO,0.9144,3,12689269.2711228
MO,1.524,5,11865672.1571517
MO,3.048,10,10286084.9554176
MO,4.572,15,9255017.27450116
MO,6.096,20,8474224.91614448
MO,7.62,25,7446466.57518848
MO,9.144,30,6777323.06056081
MO,10.668,35,5514653.27685657
MO,12.192,40,3843207.24680224
MO,13.716,45,2825649.25728266
MO,15.24,50,1373714.65026491
MO,16.764,55,594777.67610863
MO,18.288,60,222215.406979149
MO,19.812,65,73800.2072522105
MO,21.336,70,21156.7959413142
WI,0,0,1526529.10534551
WI,0.6096,2,1246290.58328599
WI,0.9144,3,1070013.92402004
WI,1.8288,6,854545.874446719
WI,3.6576,12,24545.4010712602
