node,days_from_start
4,0
5,11
7,67
9,67
8,82
10,110
11,110
2,155
6,170
3,207
1,213
1,327
4,361
5,373
11,373
9,418
8,444
7,459
10,495
2,520
6,536
3,570
1,704
4,718
5,738
11,780
8,793
7,837
9,837
10,837
2,885
6,900
3,927
1,990
4,1087
5,1094
7,1193
8,1193
2,1208
9,1208
11,1208
10,1227
6,1271
3,1292
4,1440
2,1451
5,1451
11,1507
8,1522
1,1536
7,1550
9,1550
10,1619
6,1636
3,1658
4,1805
5,1825
9,1843
8,1878
1,1914
7,1914
11,1929
10,1972
2,1984
6,1997
3,2020
4,2174
1,2182
5,2201
2,2215
8,2242
9,2256
7,2299
10,2342
11,2342
6,2355
3,2397
4,2550
5,2559
10,2585
1,2601
7,2641
8,2641
9,2656
11,2656
2,2725
6,2739
3,2759
4,2911
5,2922
8,2979
10,3021
11,3035
7,3050
9,3050
2,3061
1,3075
6,3090
3,3119
1,3217
4,3274
5,3309
9,3335
10,3365
7,3390
8,3390
11,3404
2,3433
6,3467
3,3496
4,3650
5,3656
10,3672
8,3684
11,3698
7,3754
9,3754
6,3810
1,3826
2,3826
3,3839
4,4013
5,4020
8,4104
9,4104
7,4132
10,4132
11,4132
1,4162
2,4189
6,4189
3,4215
4,4370
5,4385
8,4401
9,4415
10,4468
11,4496
1,4525
7,4525
2,4553
6,4567
3,4574
4,4742
5,4748
8,4779
7,4847
9,4847
10,4847
11,4860
1,4889
6,4917
2,4940
3,4957
4,5121
5,5144
8,5144
9,5144
1,5168
11,5211
7,5240
10,5240
2,5269
6,5283
3,5305
4,5476
5,5483
8,5513
9,5567
7,5581
10,5581
11,5595
1,5625
2,5625
6,5652
3,5674
4,5823
5,5834
9,5863
8,5891
7,5945
10,5945
11,5945
1,6002
2,6002
6,6015
3,6040
4,6192
5,6214
10,6253
11,6270
7,6295
8,6295
9,6341
1,6351
2,6351
6,6367
3,6430
4,6547
5,6577
8,6577
11,6607
10,6631
2,6660
9,6675
7,6689
1,6717
6,6757
3,6784
4,6929
5,6940
9,6940
8,6995
11,6995
7,7038
10,7052
1,7093
2,7139
6,7139
3,7144
4,7296
5,7311
8,7366
7,7396
10,7396
9,7408
11,7408
1,7451
2,7464
6,7464
3,7525
1,7641
4,7661
5,7674
10,7696
11,7724
9,7740
7,7781
8,7781
2,7836
6,7836
3,7867
1,7935
4,8024
5,8048
9,8115
7,8130
8,8130
10,8168
2,8200
11,8200
6,8214
3,8228
1,8300
4,8383
5,8388
8,8432
2,8447
11,8472
7,8486
9,8486
10,8486
6,8572
3,8609
1,8657
4,8747
5,8753
8,8797
2,8837
9,8850
7,8865
10,8895
6,8920
11,8920
3,8971
4,9116
5,9125
9,9179
11,9179
7,9224
8,9224
10,9224
1,9251
2,9266
6,9307
3,9344
4,9495
2,9504
5,9504
10,9547
8,9557
11,9557
9,9573
7,9585
1,9642
6,9670
3,9695
4,9851
1,9859
2,9859
5,9859
8,9914
11,9943
7,9999
9,9999
10,9999
6,10026
3,10065
4,10194
5,10209
8,10251
11,10294
9,10309
10,10309
7,10350
1,10363
2,10377
6,10405
3,10441
4,10590
5,10609
9,10665
8,10677
11,10677
10,10692
1,10723
7,10723
2,10734
6,10762
3,10802
4,10919
5,10929
11,10987
7,11041
8,11041
10,11041
9,11058
1,11070
2,11126
6,11126
3,11158
4,11329
5,11335
10,11335
8,11378
1,11393
9,11406
7,11420
11,11420
6,11490
2,11504
3,11533
1,11591
4,11695
5,11708
8,11734
9,11748
10,11777
11,11790
7,11804
2,11846
6,11860
3,11890
4,12032
5,12043
8,12086
11,12100
7,12141
9,12141
1,12185
10,12197
6,12225
3,12246
2,12253
4,12404
5,12410
8,12442
9,12456
10,12485
7,12526
11,12526
1,12569
6,12597
2,12618
3,12624
4,12767
5,12772
8,12829
11,12829
10,12840
9,12854
7,12882
1,12938
2,12938
6,12954
3,13003
1,13115
4,13152
5,13164
8,13164
10,13191
7,13261
9,13261
2,13302
6,13302
11,13302
3,13342
